"","value"
"1","■ 원희룡 제주특별자치도지사가 본격적인 여름철 및 장마철에 앞서, 사회전반에 대한 사전 안전점검 및 긴급 현안점검에 나섰다."
"2","- 제주어업통신국과 폐쇄회로(CC)TV 관제센터, 해수욕장, 숙박시설을 순차적으로 방문해 분야별 현황 및 상황을 점검하고, 안전사고 예방과 대응체계 등을 중점 점검했다."
"3","■ 원희룡 지사는 30일 새벽 제주어업통신국을 방문해 새벽 조업에 나선 어선들과 직접 교신하며, 조업상황과 귀항일정 등을 일일이 체크했다."
"4","○ 또, 어업통신국 현황보고를 받고 중국어선 불법조업 대응 현황과 원거리 조업어선과의 교신 상황에 대해 논의했다."
"5","■ 원희룡 지사는 어업통신국에 이어, 제주특별자치도 폐쇄회로(CC)TV 관제센터를 방문해 관제상황을 면밀히 점검했다."
"6","■ 특히, 관제센터가 연중 24시간 가동되는 점을 감안, 관제요원 등 근무자들의 근무환경에 대한 애로 및 건의사항을 청취하고, 개선책을 논의했다."
"7","■ 원희룡 지사는 간담회에서 “폐쇄회로(CC)TV 관제센터는 여름철 각종 사건ㆍ사고와 자연재해로부터 도민과 관광객을 지키는 큰 역할을 수행하는 곳”이라고 강조하고, “조금 피로하더라도 도민사회의 안전을 위해 자부심을 갖고 고생해 달라”며 당부와 함께 격려했다."
"8","- 폐쇄회로(CC)TV 관제센터는 어린이 안전용 폐쇄회로(CC)TV 2,636대를 포함해 총 6,780대의 폐쇄회로(CC)TV를 연계·관제하고 있다."
"9","- 관제센터에서는 생활안전 모니터링뿐만 아니라 각종 사건·사고 대응 모니터링을 실시해 도민사회 안전망 역할을 충실히 수행하고 있다."
"10","■ 원희룡 지사는 여름철 도민 및 관광객이 많이 찾는 함덕해수욕장으로 자리를 옮겨, 도 전역의 ‘해수욕장관리 종합대책’을 점검했다."
"11","○ 점검에서는 올해부터 해양경찰이 안전요원 및 안전장비를 미 배치되는 것과 관련, 안전요원 및 안전장비 배치 계획과 추진상황을 집중 점검했다."
"12","- 해경이 그동안 해수욕장에 안전요원 및 안전장비 배치를 통해 물놀이객 안전사고에 대비해 왔지만 올해 4월부터 상주근무에서 순찰근무로 지원체계를 변경함에 따라, 해수욕장은 행정과 소방당국에서 관리하고, 해수욕장 외 연안해역은 해경에서 관리하게 된다."
"13","- 현재 제주도에는 11개의 해수욕장*(제주시 7개소, 서귀포시 4개소)과 18개 연안해역 물놀이지역(제주시 11개소, 서귀포시 7개소)**이 지정·운영되고 있다."
"14","* 해수욕장: ‘해수욕장의 이용 및 관리에 관한 법률’"
"15","** 연안해역 물놀이지역: ‘연안사고 예방에 관한 법률’"
"16","○ 원희룡 지사는 이와 관련, 해경 미 배치에 따른 문제점을 진단하고 보완책을 행정 및 소방당국 관계자들과 집중 논의했다."
"17","○ 원희룡 지사는 “해수욕장 개장과 본격적인 물놀이철에 맞춰 업무공백이 없는지 다시 한 번 점검해야 한다”며, “안전이 최우선이다. 초기에 보완할 점은 충분히 보완해 시행해야 한다”고 당부했다."
"18","○ 그러면서, “예산이 추가로 투입되더라도 충분히 보완하고, 전문성도 충분히 갖춰야 한다”고 주문했다."
"19","○ 원희룡 지사는 인근 부녀회와 청년회와의 간담회도 갖고, 행락질서 확립 강조와 함께 지역(관광지) 이미지 제고를 위한 지역의 역할에 대해 의견을 나눴다."
"20","■ 원희룡 지사는 이후, ‘농어촌민박 안전인증제*’ 획득 숙박시설을 들러, 도(道)가 추진하고 있는 안전인증제에 대한 현장의 목소리를 청취했다."
"21","* 농어촌민박 안전인증제 : 민박업소에 대해 안전하고 청결한 민박환경을 조성하고 이용객들의 안전과 서비스 향상 및 민박 경쟁력을 향상시키기 위해 제주도가 지난해 8월부터 전국 최초로 시행하고 있는 인증제도."
"22","○ 제주도는 숙박시설에서의 각종 범죄 등 안전에 대한 불안감을 해소하고, 농어촌민박의 활성화를 위해 안전인증제를 적극 시행하고 있다."
"23","○ 원희룡 지사는 숙박시설 운영현황과 안전시설물을 점검하고, 안전인증제의 문제점과 개선책, 확대 방안에 대해 논의했다."
"24","○ 원희룡 지사는 “농어촌민박이 소박하고 선량하게 운영하는 분들이 있는 반면, 파티 개최 등 기업형으로 운영하는 분들도 있어, 뒷전으로 밀려나는 경우가 있다”면서, “도정차원에서 제대로 홍보하고 안전인증제가 빛날 수 있도록 비중을 두고 노력 하겠다”고 말했다."
"25","■ 한편, 원희룡 제주특별자치도지사는 6월 들어 사회전반에 대한 안전사고 점검과 예방, 대응체계를 강조하고 있다."
"26","○ 이는, 본격적인 여름 휴가철과 장마철에 앞서 철저한 대비태세의 중요성을 강조하고 있는 것이다."
"27","○ 앞선 17일 주간정책조정회의에서도 여름철 자연재해 및 피서철 안전사고 예방, 취약계층 지원, 아프리카 돼지열병 방지 등 분야별 안전대책을 점검하고, “예고돼 있는 상황들에 대해 사후에 대책을 세우는 일이 없도록 철저한 사전점검을 해달라”며 공직사회의 철저한 대비태세를 주문했다."
"28","■ 제주특별자치도는 27일 오후 2시 제주도청 4층 탐라홀에서 ‘2019년 상반기 도정발전 유공자에 대한 표창 수여식’을 개최했다."
"29","<U+274D> 이날 유공자 표창 수여식에는 제주특별자치도 경제통상진흥원과 전희정 (재)제주여성가족연구원 행정원 등이 행정안전부장관 표창을 수상하는 등"
"30","- 각 분야에서 도정 발전을 위해 헌신한 도민과 단체 42명에게 정부모범, 중앙부처 포상, 도정발전 유공자 표창이 수여됐다."
"31","■ 원희룡 제주특별자치도지사는 이날 표창 수여식에서 “자부심을 가지고 제주도의 어려운 문제를 함께 해결해, 살기 좋은 제주도가 될 수 있도록 더 힘차게 활동해주길 바란다”며 수상자들을 격려했다."
"32","■ 제주형 혁신인재를 육성하고, 제주도내 창업 생태계 활성화와 스타트업 성장을 지원하기 위해 원희룡 제주특별자치도지사가 나섰다."
"33","■ 원희룡 지사는 27일 오전 제주창조경제혁신센터(벤처마루 3층)에서 개최된 ‘제주 더 큰 내일센터와 함께하는 내 일 찾기 컨퍼런스’에 참석해, 국내 유명 스타트업 대표 및 도내 청년들과 혁신 인재를 육성하고, 청년들이 창업할 수 있는 환경을 만들기 위한 방안을 모색했다."
"34","■ 원희룡 지사는 인사말을 통해 “누군가 닦아온 길을 걷는 게 아니라, 아무도 길이라고 생각하지 않은 길을 열어나가는 작지만 강력한 거인들의 아이디어와 에너지, 영감을 제주청년들에게 전파하길 바란다”고 말했다."
"35","○ 이어, “제주도정에서도 자원, 제도, 홍보 등을 지원하고, 생생한 의견을 청취해 나가겠다”고 강조했다."
"36","■ 원희룡 지사는 이날 컨퍼런스에서 ‘창의적이고 혁신적인 인재를 육성하기 위한 방안’이란 주제로 한 토크콘서트에 국내 유명 스타트업 임직원*들과 패널로 나서, 청년 창업 및 취업 지원 계획 등에 대한 입장을 밝혔다."
"37","* 김종현 (유)섬이다 대표, 김봉진 우아한형제들 대표(배달의 민족), 류준우 보맵(통합보험관리앱) 대표, 최정호 핑크퐁(스마트스터디) 인사총괄(CLO)"
"38","■<U+00A0>원희룡 지사는 “청년들은 기회와 작은 성취의 경험을 직접 겪어보는 것이 중요하다”면서 “행정에서 시간과 공간을 제공해 준다면, 100% 성공하기는 어렵겠지만 나름의 성공 또는 성공의 씨앗이 나올 수 있을 것”이라고 말했다."
"39","○ 또한, “국경과 제주라는 지역의 한계와 개개인 및 분야별 칸막이를 뛰어넘어 세계에 통할 수 있는 커뮤니티이자 게이트로 주어진 시간이나 공간속에서 일을 해야 한다”고도 했다."
"40","■ 제주특별자치도는 이날 컨퍼런스에서 (사)코리아스타트업포럼과 ‘제주 혁신 인재 양성 및 스타트업 생태계 활성화를 위한 업무협약’을 체결했다."
"41","<U+274D> 협력에 따라 양 기관은 ▲제주 더 큰 내일센터 운영 협력을 통한 인재 양성 및 인턴십 매칭 ▲기관 간 협력 네트워크를 기반으로 인재 양성 및 스타트업 교류 촉진 ▲제주도 내 창업 생태계 활성화 및 스타트업 성장 지원 협력 등을 위해 앞으로 공동 협력해 나갈 계획이다."
"42","■ 한편, 제주 더 큰 내일센터에서는 오는 7월부터 8월까지 청년 미취업자 100명을 선발해 분야별 전문교육 및 직무체험 프로그램을 실시할 예정이다."
"43","붙임 : 제주 더 큰 내일센터 『내 일 찾기 컨퍼런스』 개요 1부."
"44","■ 원희룡 제주특별자치도지사는 27일 “퇴임 공직자들이 닦아온 길 위에서 후배들과 젊은 공직자들이 뒤를 이어서 제주를 더 살기좋고 더 미래가 밝은 제주로 만들어 나갈 것”이라고 밝혔다."
"45","■ 원희룡 지사는 이날 오전 제주도청 탐라홀에서 열린 ‘2019년도 상반기 공직자 퇴임식’에 참석해 격려사를 통해 이같이 말했다."
"46","○ 문원일 전 도민안전실장을 비롯해 44명의 공직자들이 30여 년 간 국가와 지역사회 발전을 위해 일생을 봉사했으며, 6월 27일 퇴임식을 끝으로 명예롭게 퇴직했다."
"47","■ 원희룡 지사는 “공직생활을 시작했던 1970~80년대 제주는 지금과는 전혀 다른 발전을 이룩했다”면서 “이러한 발전에는 퇴임하는 공직자들의 땀과 노력이 담겨있다”고 말했다."
"48","○ 이어, “공직을 나선 사회 속에서 멋진 뒷모습을 후배들에게 보여주길 바라고, 제주도는 퇴임하는 공직자들을 영원히 기억하고 존경하면서 선배들이 빛나는 자리에 있을 수 있도록 늘 응원하겠다”고 전했다."
"49","■ 문원일 이사관은 퇴임사를 통해 “이제 모든 것을 내려놓고 개인일상으로 돌아가 도민의 한사람으로써, 행정 경험을 살려 제주도에 이바지할 수 있도록 노력해 나가겠다”고 말했다."
"50","■ ‘2019년도 상반기 공직자 퇴임식’에는 퇴직공직자, 가족 친지 및 동료 공직자 등 200여 명이 참석했으며, 재직기념패 수여, 정부포상 전수, 기념촬영 순으로 진행됐다."
"51","※ 2018년 하반기 명예퇴직 18명, 2019년 상반기 정년퇴직 45명"
"52","■ 제주지역에 최적화된 다목적 소방헬기‘한라매’가 비상한다."
"53","■ 제주특별자치도 소방안전본부(본부장 정병도)는 26일 오후 4시 30분 제주국제공항 내 소방항공대에서 ‘소방항공대 발대식’을 갖고, 27일부터 ‘한라매’를 본격적으로 현장에 투입한다."
"54","<U+274D> 이날 발대식에는 원희룡 제주특별자치도지사를 비롯해 김태석 제주특별자치도의회 의장, 김수봉 한국공항공사 제주지역본부장 등 관계자 200여 명이 참석해 소방항공대 출범을 기념했다."
"55","■ 소방안전본부는 이날 ‘소방항공대 발대식’에서 다목적 소방헬기 ‘한라매’를 처음으로 선보였다."
"56","<U+274D> ‘한라매’*는 한국항공우주산업(KAI)에서 지난 2015년부터 제작해 지난해 5월 제주로 인도됐다."
"57","* 한라매:　KUH-1EM 기종, 총 270억 원 투입"
"58","<U+274D> 시간당 최대 290km의 속도로 최대 항속거리 719km를 비행(최대 체공시간 3시간 47분)할 수 있어, 제주에서 중증응급환자를 수도권 종합병원으로 논스톱으로 이송할 수 있다. 최대 탑승인원은 14명이다."
"59","<U+274D> 또한, 한라산 백록담에서 제자리 자동비행할 수 있는 체계를 갖춰 항공인명구조가 가능하며, 배면물탱크를 탑재해 산불 등 화재진압에도 신속하게 대응할 수 있다."
"60","<U+274D> 아울러, 최첨단 전자광학 적외선 카메라 기능을 장착해 산악 실종객 및 해상 조난자 수색에도 특화돼 있다."
"61","■ ‘한라매’는 지난해 7월 수리온 계열 기종인 ‘마린온’ 추락사고 이후 운항이 중단되었으나,"
"62","<U+274D> 지난해 말 한라산 및 유인부속도서 주요 임무항로 비행숙달훈련을 시작으로 이·착륙 훈련 및 항공 인명구조 훈련을 차질 없이 수행했다."
"63","<U+274D> 특히, 지난 4월부터 6월 중순까지 비행시간 500시간에 따른 헬기 정밀검사을 무사히 마쳐 안전성을 최종적으로 확인했다."
"64","■ 제주소방안전본부는 소방항공대가 발대됨에 따라 도내 산불 진압과 신속한 수도권 응급환자 이송, 한라산·오름 등 산악 인명구조 뿐만 아니라, 도서지역·고층건축물 등에서 발생하는 재난상황에 신속한 대응이 가능해져 도민이 만족하는 소방안전서비스를 제공할 것으로 기대하고 있다."
"65","<U+274D> 소방헬기가 필요한 곳에 언제든지 출동할 수 있도록 119종합상황실, 소방서 및 산림청, 경찰 등 유관기관과의 협업체계를 강화해 나갈 계획이다."
"66","■ 원희룡 제주특별자치도지사는 이날 발대식 기념사를 통해 “소방헬기 도입에 여러 가지 어려움이 있었으나, 드디어 도민 숙원이 이루어졌다. 소방항공대 발대를 진심으로 축하하며 소방헬기의 역할을 기대한다”고 밝혔다."
"67","<U+274D> 또한 “소방공무원들이 현장에서 직무에 전념할 수 있도록 처우개선, 장비지원 등 꼼꼼하게 살피겠다”고 덧붙였다."
"68","■ 원희룡 제주특별자치도지사는 26일 “중소기업은 일자리 대부분을 챙기고 있는 한국경제의 몸통”이라고 밝혔다."
"69","■ 원희룡 지사는 이날 오후 롯데호텔제주에서 열린 ‘2019 중소기업 리더스 포럼’에 참석해, 중소기업의 중요성을 강조했다."
"70","<U+274D> 중소기업은 국내 사업체의 99%와 사업체 종사자의 88%를 차지하는 등 한국경제의 핵심축을 담당하고 있다."
"71","■ 원희룡 지사는 “정부의 기업정책은 중소기업인들의 의욕을 살려주는 데 있다”면서, “중소기업이 세계 속의 기업이 되고, 대기업이 될 수 있는 길을 열어주는 역할을 해야 한다”고 말했다."
"72","<U+274D> 이어, “정부는 중소기업 현장의 의견을 충분히 듣고, 지역경제의 특성을 청취해 정책을 추진해 나가야 한다”고 덧붙였다."
"73","■ 원희룡 지사는 그러면서, “제주도에는 대기업이 없다”면서 “중소기업의 의견을 정부에 건의할 것은 건의하고, 목소리를 내면서 협력해 나갈 것”이라고 강조했다."
"74","<U+274D> 특히, “최저임금, 주 52시간 때문에 1차산업 현장을 다녀왔다”면서 “발주가 몰리면 클레임 등의 문제로 밤새 고객들의 요구상황을 맞춰야 하는 어려움뿐만 아니라, 인력난에 부딪히는 현장을 몸소 느꼈다”며 정부의 정책에 따른 중소기업들의 애로사항을 포럼에 참석한 정부 관계자들에게 전하기도 했다."
"75","■ ‘중소기업 리더스 포럼’은 전국 중소기업 대표들이 한자리에 모여 중소기업의 경영전략과 정책 아젠다를 제시하기 위해 2007년부터 매년 개최되고 있다."
"76","■ 올해에는 ‘초연결 시대와 공동의 미래’라는 주제로 26일부터 오는 29일까지 4일간 운영된다."
"77","■ 한편, 제주특별자치도는 소상공인과 중소기업의 활성화를 위해 ▲제주형 중소기업 장기근속 재형저축 출시 ▲소상공인 지원전담부서 설치 ▲중소기업육성자금 융자지원 제도개선 및 확대 ▲도내 일자리 창출 법인 지방세 감면 ▲중소기업 특허 비용 지원 등 다양한 정책을 시행하고 있다."
"78","<U+2751> 원희룡 제주특별자치도지사는 26일 “환경총량보전 노력이 일자리, 소득증가, 지역발전의 선순환 구조를 통해 도민에게 실질적인 이익이 되도록 노력 하겠다”고 밝혔다."
"79","<U+2751> 원희룡 지사는 이날 오후 제주칼호텔 2층 그랜드 볼룸에서 개최된 제4회 제주플러스포럼에서 참석해 제주도의 환경정책과 비전에 대해 강연을 진행하며 이 같이 밝혔다."
"80","<U+274D> 원희룡 지사는 “제주 섬의 본질적인 가치는 바로 청정자원”이라며 “청정 자연을 지키며 신체적<U+2027>정신적<U+2027>사회적 건강이 조화를 이루는 웰빙과 해피니스의 합성어 ‘웰니스의 섬’을 추구하고 있다”고 밝혔다."
"81","<U+274D> 또한 “제주의 청정 자연을 지키는 일은 도민 행복과 제주의 미래와 긴밀하게 연결된다”며 “제주의 환경정책은 물, 공기와 땅을 포함한 섬 전체가 귀한 자원이라는 관점에서 접근하고 있다”고 강조했다."
"82","<U+274D> 이어 신재생에너지 생산을 비롯한 탄소제로섬 정책, 제주형 통합 물관리 정책, 환경총량제, 미세먼지 저감, 자동차 억제 등의 도정 정책들을 소개했다."
"83","<U+274D> 또한 “자연환경이 곧 제주의 경쟁력이 되는 만큼 환경 보물섬을 지키기 위해 대중교통 이용, 물 절약, 일회용품 덜 쓰기, 분리수거 등 모범적인 시민의식과 생활 문화를 지닌 제주도민이 되어 달라”고도 제안했다."
"84","<U+2751> 한편, 제4회 제주플러스포럼은 제주국제자유도시개발센터<U+2027>제주연구원<U+2027>제주대학교<U+2027>뉴스1이 주최했으며 ‘지구와 삶터를 지키는 자립형 자원순환 도시 조성 전략’을 주제로 진행됐다."
"85","<U+274D> 이날 포럼에서는 정부의 자립형 자원순환도시 전략과 아·태지역 자립형 자원순환도시(섬) 추진 전략 및 협력 방안, 폐기물 자원순환 선진사례, 제주지역 폐기물 처리 개선방안과 향후 전략 등에 대한 강연과 주제발표가 이어졌다."
"86","※ [별첨] 발표자료 첨부"
"87","■ 원희룡 제주특별자치도지사는 26일 “제주도는 사용후 배터리의 이력검사, 인증, 활용방안, 유통 등 의미 있고 선도적인 역할을 할 것”이라고 밝혔다."
"88","■ 원희룡 지사는 이날 오전 ‘전기차배터리 산업화센터’ 개소식에 참석해, “제주도는 전기차 사용후 배터리 연관산업의 여러 가지 조건을 갖추고 있다”면서 이같이 말했다."
