"","value"
"1","■ 제주특별자치도가 ‘2030 카본프리 아일랜드’ 사업목표 달성과 전기차 선도도시로의 도약을 위해 민간단체 및 연구기관과 힘을 합쳤다."
"2","■<U+00A0>제주특별자치도는 30일 오후 3시 30분 제주도청 백록홀에서 제주도와 한국생산기술연구원(원장 이낙규, 이하 생기원), (사)한국자동차검사정비사업조합연합회(회장 양승용, 이하 연합회) 등 3자간 전기차 통합유지보수 기반구축 사업 업무협약을 체결했다고 밝혔다."
"3","<U+274D> 이날 협약식에는 원희룡 도지사, 이낙규 생기원장, 양승용 연합회장을 비롯한 관계자 20여 명이 참석했다."
"4","■ 원희룡 지사는 인사말을 통해 “2만대 전기차가 운행 중인 제주도가 미래 전기차시대를 가장 먼저 이끌어 나갈 것”이라며 “제주도가 전기차와 통합유지보수와 관련해 선도적인 역할을 해나갈 수 있도록 많은 협력과 지도를 부탁드린다”고 당부했다."
"5","<U+274D> 원희룡 지사는 “제주도는 일상생활에서 가장 피부에 와 닿는 전기차 산업을 육성하기 위해 전기차충전서비스특구 지정을 통한 규제 완화와 사용 후 배터리 인증을 통한 폐배터리 활용방안 등을 연구하고 있다”며 제주도의 전기차 산업 방향을 소개했다."
"6","<U+274D> 이어 “오늘 협약을 통해 전기자동차 생산 이후의 에프터 마켓에 대해서도 새로운 산업이나 일자리, 서비스를 창출해 나가겠다”고 강조했다."
"7","■ 이낙규 생기원장은 “제주도에 전기차 산업 생태계가 자리잡고 탄소 없는 섬으로 구현될 수 있도록 지원해 나가겠다”고 약속했다."
"8","■ 양승용 연합회장은 “멀지 않은 미래에 제주의 경험과 열정이 육지로 안착되고, 전기차를 통해 제주도가 좀 더 많은 도움이 될 수 있도록 노력하겠다”고 밝혔다."
"9","■ 전기차 통합 유지보수 기반 구축사업은 산업부와 제주도가 올해 6월부터 2024년까지 5년간 기반 조성에 150억9900만원, 기술개발에 31억5000만원 등 총 180억원 이상(국비 128억원, 지방비 59억4천6백만원)의 예산이 투입된다."
"10","<U+274D> 이번 3자간 업무협약에 참여한 (사)한국자동차검사정비사업조합연합회는 수요기관으로서, 정비업체 협력 네트워크 지원을 통해 정비·안전관리 교육 및 보급 역할을 담당하게 된다."
"11","■<U+00A0>한편 제주도는 이에 앞서 도내 연구기관, 대학, 유관기관과 협력해 사업계획을 수립하고, 산업통상자원부가 지난 3월 공모한 ‘전기차 통합유지보수 기반구축 사업’에 최종 선정되는 성과를 이끌어 낸 바 있다."
"12","■<U+F071> 제주특별자치도는 30일 오후 2시 제주도청 4층 탐라홀에서 ‘2020 상반기 정기 유공자 표창 수여식’을 개최해 제주도내 각 분야에서 제주도정 발전을 위해 헌신한 도민과 전문가, 공직자들에게 유공자 표창을 전달했다."
"13","○<U+F06D> 코로나19 방역지침을 준수하며 진행된 이날 행사에서는 정부모범, 도정발전 유공, 환경의 날 표창자 등 31명이 표창을 수상하는 영예를 안았으며, 표창수상자 및 가족, 관계 공무원 등 100여 명이 참석해 수상을 함께 축하했다."
"14","■<U+F071> 원희룡 제주특별자치도지사는 “제주발전을 위해 여러분들이 헌신해준 덕분에 코로나19 위기로부터 도민의 생명을 지키며 미래를 향해나가고 있다”며 도정발전 유공자에 대한 감사의 말을 전했다."
"15","○<U+F06D> 원희룡 지사는 “코로나19로 도민의 살림살이가 팍팍해지고 1차 산업을 비롯한 지역 산업이 어려운 상황에서도 청정 환경과 이웃을 지키고 제주 경제에 활력을 불어넣기 위해 노력해주시는 여러분의 노력에 도민을 대신해 진심으로 감사드린다”고 전했다."
"16","○<U+F06D> 아울러 “여름철을 맞아 많은 관광객들이 제주를 찾겠지만 지금처럼 한마음으로 지켜나간다면 코로나19로부터 안전한 제주의 밝은 미래를 약속 받을 수 있을 것”이라고 말했다."
"17","■<U+F071> 제주특별자치도는 매년 상반기와 하반기로 나눠 제주도정 발전을 위해 헌신한 유공자들을 선정하고 있다."
"18","○<U+F06D> 올해 상반기에는 코로나19 대응, 자연환경 보호, 지역사회 발전, 사회적 약자 권리 보호 등 29개 분야에서 코로나19 위기 극복과 제주 환경보호를 위해 노력한 도민 26명과 공직자 5명을 유공자로 선정해 표창을 수여했다."
"19","*붙임 : 2020 상반기 도정발전 유공자 표창 수여식 참석자 명단"
"20","■ 제주특별자치도가 30일 제주도청 탐라홀에서 ‘2020년 상반기 공직자 퇴임식’을 가졌다."
"21","○ 이날 행사는 홍영기 이사관을 포함한 48명의 공직자가 짧게는 20년, 길게는 40여 년의 공직생활을 마무리하는 자리였다."
"22","※ 2019년 하반기 명예퇴직 등 11명, 2020년 상반기 정년퇴직 37명 (2급 1명, 3급 9명, 4급 11명, 5급 11명, 6급 5명, 7급 3명, 전문경력관 2명 연구 3명, 청원경찰 3명)"
"23","○ 올해 퇴임식은 신종 코로나바이러스 감염증 대응을 위해 행사 전 발열체크와 손 소독을 실시하고, 행사 중에는 마스크를 필수 착용하게 하는 등 방역 지침에 따라 진행됐다."
"24","■ 원희룡 지사는 격려사를 통해 “코로나19 위기와 경제 침체 어려움 속에서도 제주가 지역감염이 없는 청정지역으로 K방역의 모범사례와 세계적인 관광도시의 표준으로 자리 잡을 수 있었던 것은 모두 공직자분들의 땀과 노력 덕분”이라며 그간의 노고에 대해 감사의 말을 전했다."
"25","○ 이어 “물질적으로 주는 기념패보다 후배들 마음속에 새겨진 여러분들을 그리워하고 존경하는 마음이 진정한 훈장”이라며 “당당한 제2의 인생을 살아나가길 바란다”고 말했다."
"26","■ 퇴임사를 맡은 홍영기 이사관은 30여 년간의 공직생활의 소회를 밝힌 후, 후배들에게 도민에 대한 철저한 봉사행정을 통해 존경받는 공직자가 되어 줄 것을 당부했다."
"27","■ 한편, 이날 오후 2시에는 2020년도 상반기 도정발전 유공자에 대한 표창 수여식이 진행될 예정이다."
"28","붙임 : 퇴직자 프로필 1부. 끝."
"29","※ 본인이 원하지 않은 경우 프로필을 제공하지 않습니다."
"30","■ 제주특별자치도가 제주의료원장 임명후보자에 대한 2차 재공모를 추진한다."
"31","<U+274D> 제주도는 제주의료원장의 임기가 6월 20일자로 만료됨에 따라, 최초 모집 공모 시는‘적격자 없음’으로 최종 결정돼 재공모를 실시한 바 있다."
"32","<U+274D> 이후 2명이 응모했으나 지난 6월 24일 응모자 중 1명이 철회서를 제출함에 따라 6월 30일자로 제주의료원 경영 개선과 공공의료 확충에 필요한 적격자를 2차 재공개 모집한다고 밝혔다."
"33","<U+274D> 제주의료원장 공개 모집은 「지방의료원의 설립 및 운영에 관한 법률」 및 「제주특별자치도 지방의료원 설립 및 운영 조례」에 따라 재공고(2차) 후 오는 7월 1일부터 7월 6일까지 응모 원서를 접수한다."
"34","<U+274D> 임용 절차는 기존 모집 과정과 동일하며, 제주특별자치도 제주의료원 임원추천위원회에서 원서를 접수 후 임원추천위원회의 심사를 통해 2명 이상의 임용후보자를 추천한다. 이후에는 원희룡 제주특별자치도지사가 최종 임명하게 된다."
"35","<U+274D> 제주의료원장은 제주의료원 운영 전반을 담당하는 역할을 수행하며, 임기는 3년간이다."
"36","<U+274D> 1차 서류전형 합격자 중 2차 면접심사를 치르게 되며, 신청은 응모원서 등 관련 서류를 도 보건건강위생과로(☎ 064-710-2911∼2) 직접 접수 및 등기우편으로 우송하면 된다."
"37","■ 응모 자격은 ▶전공의 수련병원급 이상의 의료기관 및 지방의료원에서 진료 과장 이상의 직위에서 4년 이상 근무한 사람 ▶종합병원 원장으로 3년 이상 근무한 사람 ▶의사면허 취득 후 10년 이상 의료경력이 있는 사람 ▶보건·의료분야 4급 이상 공무원으로 4년 이상 재직한 사람 ▶병원경영의 전문가 또는 경영분야의 전문가로 탁월한 실적이 있는 사람이다."
"38","■ 임태봉 제주도 보건복지여성국장은 “제주의료원장 임명 후보자 에 대해 2차 재공고인 만큼, 경영개선과 지역거점공공병원 책임성 강화를 위한 의료 전문가들의 적극적인 응모를 기대한다”고 재차 당부했다."
"39","ㅁ<U+F071> 제주특별자치도는 한국생산기술연구원(원장 이낙규. 이하 생기원), (사)한국자동차검사정비사업조합연합회(회장 양승용. 이하 연합회)와 전기차 통합 유지보수 기반을 구축하기로 하고 다자간 업무협약을 체결한다고 밝혔다."
"40","<U+274D> 30일 오후 3시 30분 제주특별자치도청 백록홀에서 열리는 협약식에는 원희룡 도지사, 이낙규 생기원장, 양승용 연합회장, 김호성 생기원 제주본부장, 도양회 제주대학교 산학협력단장, ㈜부품디비 김정욱 연구소장 등 협약기관 및 수요기관 관계자 20여 명이 참석한다."
"41","ㅁ<U+F071> 올해 3월 기준, 전국적으로 전기차 등록대수는 10만대를 돌파했지만, 차량에 이상이 발생할 경우 수리는 전적으로 제작사에 의존할 수밖에 없는 실정이다."
"42","<U+274D> 특히 축적된 데이터가 부족해 사용 중 예기치 못 한 문제가 생기거나 고장, 사고 등의 위급 상황에서 적절한 대응이 어려워 전기차 보급·확산을 위해서는 전문적인 정비 인프라 구축이 시급했다."
"43","ㅁ<U+F071> 제주도는 이번 업무협약을 기점으로 전기차 유지보수기술을 확보하고 정비 인프라를 구축해 전·후방산업 육성을 견인함으로써 제주특별자치도를 명실상부한 전기차 선도도시로 도약시킨다는 구상이다."
"44","ㅁ<U+F071> 전기차 통합 유지보수 기반 구축사업은 산업부와 제주도가 올해 6월부터 2024년까지 5년간 기반 조성에 150억9천9백만원, 기술개발에 31억5천만원 등 총 180억원이상(국비 128억원, 지방비 59억4천6백만원)투입한다."
